size,Tool,total
10,BiG-SLICE v1.1,7.773597
25,BiG-SLICE v1.1,16.086655333333333
50,BiG-SLICE v1.1,20.041753666666665
75,BiG-SLICE v1.1,26.697250666666665
100,BiG-SLICE v1.1,39.168646
250,BiG-SLICE v1.1,72.62358566666666
500,BiG-SLICE v1.1,124.70043966666667
750,BiG-SLICE v1.1,182.01459066666666
1000,BiG-SLICE v1.1,211.75852133333333
2500,BiG-SLICE v1.1,514.8299303333333
5000,BiG-SLICE v1.1,1098.313177
10000,BiG-SLICE v1.1,2198.1974913333333
25000,BiG-SLICE v1.1,5387.304312333334
50000,BiG-SLICE v1.1,17854.447071333332
75000,BiG-SLICE v1.1,18461.725954
10,BiG-SLICE v2.0,19.639487
25,BiG-SLICE v2.0,46.985358
50,BiG-SLICE v2.0,44.82692900000001
75,BiG-SLICE v2.0,57.84041633333334
100,BiG-SLICE v2.0,63.885388
250,BiG-SLICE v2.0,88.41766700000001
500,BiG-SLICE v2.0,129.67571433333333
750,BiG-SLICE v2.0,173.55172433333334
1000,BiG-SLICE v2.0,209.108305
2500,BiG-SLICE v2.0,478.00990466666667
5000,BiG-SLICE v2.0,958.285976
10000,BiG-SLICE v2.0,1845.7685803333334
25000,BiG-SLICE v2.0,4661.731059999999
50000,BiG-SLICE v2.0,9146.051720000001
75000,BiG-SLICE v2.0,13017.655983
10,BiG-SCAPE v1.1,25.230999999999998
25,BiG-SCAPE v1.1,34.68833333333333
50,BiG-SCAPE v1.1,63.175333333333334
75,BiG-SCAPE v1.1,91.843
100,BiG-SCAPE v1.1,122.94166666666666
250,BiG-SCAPE v1.1,297.84200000000004
500,BiG-SCAPE v1.1,622.4476666666666
750,BiG-SCAPE v1.1,958.2453333333333
1000,BiG-SCAPE v1.1,1257.0566666666666
2500,BiG-SCAPE v1.1,3185.814
5000,BiG-SCAPE v1.1,6710.1895
10000,BiG-SCAPE v1.1,14461.623333333335
25000,BiG-SCAPE v1.1,44968.94866666666
50000,BiG-SCAPE v1.1,153030.0
75000,BiG-SCAPE v1.1,
10,BiG-SCAPE v2.0,12.806
25,BiG-SCAPE v2.0,11.035000000000002
50,BiG-SCAPE v2.0,15.630333333333335
75,BiG-SCAPE v2.0,20.900666666666666
100,BiG-SCAPE v2.0,25.116
250,BiG-SCAPE v2.0,52.98166666666666
500,BiG-SCAPE v2.0,84.90766666666667
750,BiG-SCAPE v2.0,127.02
1000,BiG-SCAPE v2.0,161.205
2500,BiG-SCAPE v2.0,429.85633333333334
5000,BiG-SCAPE v2.0,1029.8013333333333
10000,BiG-SCAPE v2.0,2947.2406666666666
25000,BiG-SCAPE v2.0,19042.813
50000,BiG-SCAPE v2.0,101310.83933333332
75000,BiG-SCAPE v2.0,262954.296
