size,hmm v1,hmm v2,dist_calc v1,dist_calc v2
25,70.1484649017441,70.02265518803804,23.06250900879258,3.781906056486935
50,71.23033251374483,71.33778336994305,23.215812078553867,5.3571047749035
75,72.9505787049639,70.61656725463303,21.41335394822324,7.246977767854296
100,75.645631397004,69.8877209746775,19.250321968413207,8.408982322025802
250,71.62634327372677,61.67668061279059,22.159399950309222,17.084526093931867
500,70.04604938674899,70.48951213671322,23.241579077866252,5.1766036047000075
750,69.71074909139483,70.03778932451583,23.51520278731682,7.141919907626095
1000,68.62591715568378,68.7021701146573,24.42212894141606,9.096285268240232
2500,67.85288364815607,61.505743391784385,23.154731150866517,17.136810825942618
5000,64.14870995819119,50.172622292196166,24.470247822360307,28.57803641090644
10000,60.576417539109826,34.37478581660903,22.9503972237326,44.601775536484865
25000,49.2332316478587,13.401048819135422,23.419864103857265,66.19266631808371
50000,,5.375120144268342,,79.02133032043646
75000,,3.2123494951381213,,82.64798001246575
