seconds,Memory usage (GB)
0.0,10.996104030869901
197.92590425531915,11.25610149372369
395.8518085106383,13.570688609965146
593.7777127659574,17.201668872497976
791.7036170212766,23.402241248637438
989.6295212765958,23.802874927408993
1187.5554255319148,24.027201080694795
1385.481329787234,24.230754470452666
1583.4072340425532,24.25597515143454
1781.3331382978724,24.42304746620357
1979.2590425531916,24.649840869940817
2177.1849468085106,24.85770216025412
2375.1108510638296,21.420799541287124
2573.0367553191486,16.458403072319925
2770.962659574468,16.488679161295295
2968.8885638297875,16.485060768201947
3166.8144680851065,42.85408115386963
3364.7403723404254,74.29481431934983
3562.666276595745,76.0334805874154
3760.5921808510634,77.69243597052991
3958.5180851063833,78.19782091118395
4156.443989361702,78.56586137786508
4354.369893617021,78.83868892677128
4552.295797872341,79.09030559565872
4750.221702127659,79.51545946113765
4948.147606382979,79.9597139172256
5146.073510638297,80.33485769294202
5343.9994148936175,80.63761892355978
5541.925319148936,81.21402261778712
5739.8512234042555,81.4273624420166
5937.777127659575,81.7750054737553
6135.7030319148935,82.1317499158904
6333.628936170213,82.55013727210462
6531.554840425532,82.79722225200385
6729.480744680851,83.16540155373514
6927.40664893617,83.60532249417156
7125.33255319149,83.76684583630413
7323.258457446809,84.09980300907046
7521.184361702127,84.50761737860739
7719.110265957447,84.69432363472879
7917.036170212767,85.02681407891214
8114.962074468084,85.290771484375
8312.887978723404,85.60477132815868
8510.813882978724,85.9670294765383
8708.739787234043,87.1505151744932
8906.665691489361,86.56795713398606
9104.591595744681,86.83332180045545
9302.5175,87.05064048804343
9500.443404255318,87.32913774531335
9698.369308510639,87.58028652146459
9896.295212765957,87.45021055266261
10094.221117021278,87.81914800684899
10292.147021276594,88.168242149055
10490.072925531915,88.52143251430243
10687.998829787235,88.75967638008296
10885.924734042554,88.9763646312058
11083.850638297872,88.89708360657096
11281.77654255319,88.17020366713405
11479.702446808511,88.63171930331737
11677.62835106383,89.08624172210693
11875.55425531915,89.50926963798702
12073.480159574468,89.48037044517696
12271.406063829787,89.68104339577258
12469.331968085107,89.85712635051459
12667.257872340426,89.6899544717744
12865.183776595744,89.97661882359535
13063.109680851065,90.40198522526771
13261.035585106383,90.78505508415401
13458.961489361702,91.12911308277398
13656.887393617022,91.44095510523766
13854.81329787234,91.82850667927414
14052.739202127661,91.67232311237603
14250.66510638298,91.61485900916159
14448.591010638298,91.68102796562016
14646.516914893618,91.79715038277209
14844.442819148937,91.87003889121115
15042.368723404254,91.92286911047995
15240.294627659576,91.55181659664959
15438.220531914894,89.5162441637367
15636.146436170211,88.35890121478587
15834.072340425533,52.44210851658136
16031.99824468085,46.74407535512
16229.924148936168,46.72853401210159
16427.85005319149,46.71830659825355
16625.775957446807,46.71040004771203
16823.701861702128,46.70737440139055
17021.627765957448,46.709962158463895
17219.553670212765,46.7109562875703
17417.479574468085,46.7255672076717
17615.405478723405,46.72821846045554
17813.331382978722,46.72456581145525
18011.257287234042,48.27099693287164
18209.183191489363,48.795121002011
18407.10909574468,48.78498762100935
