size,version,read_files_prop,hmm_scan_prop,hmm_align_prop,distance_calc_prop,cc_gen_prop,read_files,hmm_scan,hmm_align,distance_calc,cc_gen,total_logged
10,v1.1,0.04,0.0,0.502,0.238,0.0,1.0,0.0,12.667,6.0,0.0,25.231
25,v1.1,0.038,0.356,0.346,0.231,0.01,1.333,12.333,12.0,8.0,0.333,34.688
50,v1.1,0.047,0.543,0.169,0.232,0.005,3.0,34.333,10.667,14.667,0.333,63.175
75,v1.1,0.051,0.577,0.152,0.214,0.004,4.667,53.0,14.0,19.667,0.333,91.843
100,v1.1,0.046,0.645,0.111,0.193,0.003,5.667,79.333,13.667,23.667,0.333,122.942
250,v1.1,0.051,0.67,0.046,0.222,0.009,15.333,199.667,13.667,66.0,2.667,297.842
500,v1.1,0.051,0.672,0.029,0.232,0.016,31.667,418.0,18.0,144.667,10.0,622.448
750,v1.1,0.048,0.677,0.02,0.235,0.019,46.0,649.0,19.0,225.333,18.333,958.245
1000,v1.1,0.045,0.668,0.018,0.244,0.024,56.333,840.333,22.333,307.0,30.667,1257.057
2500,v1.1,0.045,0.666,0.013,0.232,0.044,144.667,2120.667,41.0,737.667,141.333,3185.814
5000,v1.1,0.041,0.63,0.011,0.245,0.072,275.5,4230.0,74.5,1642.0,480.5,6710.19
10000,v1.1,0.044,0.587,0.018,0.23,0.119,640.0,8493.0,267.333,3319.0,1727.0,14461.623
25000,v1.1,0.035,0.461,0.031,0.234,0.239,1556.0,20753.0,1386.667,10531.667,10735.0,44968.949
10,v2.0,0.069,0.277,0.135,0.037,0.483,0.879,3.541,1.728,0.471,6.187,12.806
25,v2.0,0.113,0.529,0.171,0.038,0.149,1.246,5.838,1.889,0.417,1.645,11.035
50,v2.0,0.13,0.525,0.188,0.054,0.103,2.035,8.212,2.939,0.837,1.607,15.63
75,v2.0,0.149,0.512,0.194,0.072,0.072,3.119,10.707,4.052,1.515,1.508,20.901
100,v2.0,0.152,0.518,0.181,0.084,0.065,3.828,12.999,4.554,2.112,1.623,25.116
250,v2.0,0.172,0.464,0.153,0.171,0.041,9.095,24.57,8.108,9.052,2.158,52.982
500,v2.0,0.201,0.54,0.165,0.052,0.042,17.093,45.846,14.005,4.395,3.568,84.908
750,v2.0,0.19,0.536,0.164,0.071,0.038,24.195,68.145,20.817,9.072,4.791,127.02
1000,v2.0,0.182,0.526,0.161,0.091,0.04,29.419,84.727,26.024,14.664,6.371,161.205
2500,v2.0,0.152,0.471,0.144,0.171,0.061,65.382,202.282,62.105,73.664,26.425,429.856
5000,v2.0,0.12,0.38,0.121,0.286,0.092,123.938,391.785,124.894,294.297,94.888,1029.801
10000,v2.0,0.076,0.26,0.083,0.446,0.134,223.407,767.246,245.862,1314.522,396.204,2947.241
25000,v2.0,0.034,0.101,0.033,0.662,0.17,641.015,1932.833,619.103,12604.946,3244.916,19042.813
50000,v2.0,0.012,0.041,0.012,0.79,0.144,1199.833,4198.515,1247.065,80057.173,14608.254,101310.839
75000,v2.0,0.006,0.025,0.007,0.826,0.136,1507.05,6578.515,1868.496,217326.414,35673.821,262954.296
