size,read_files,hmm_scan,hmm_align,distance_calc,cc_gen
10,0.131,0.529,0.258,0.07,0.012
25,0.132,0.617,0.2,0.044,0.007
50,0.144,0.581,0.208,0.059,0.007
75,0.16,0.548,0.207,0.078,0.008
100,0.162,0.55,0.193,0.089,0.006
250,0.178,0.48,0.158,0.177,0.007
500,0.208,0.557,0.17,0.053,0.012
750,0.195,0.549,0.168,0.073,0.015
1000,0.187,0.538,0.165,0.093,0.017
2500,0.157,0.486,0.149,0.177,0.032
5000,0.126,0.397,0.127,0.298,0.053
10000,0.08,0.276,0.088,0.472,0.084
25000,0.036,0.107,0.034,0.7,0.123
50000,0.012,0.043,0.013,0.814,0.118
75000,0.006,0.026,0.007,0.848,0.113
