size,BiG-SLICE v1.1,BiG-SLICE v2.0,BiG-SCAPE v1.1,BiG-SCAPE v2.0,Relative performance (2.0.0 v 1.1)
10,7.773597,19.639487,25.230999999999998,12.806,1.9702483210994846
25,16.086655333333333,46.985358,34.68833333333333,11.035000000000002,3.143482857574384
50,20.041753666666665,44.82692900000001,63.175333333333334,15.630333333333335,4.041841718026913
75,26.697250666666665,57.84041633333334,91.843,20.900666666666666,4.394261746036809
100,39.168646,63.885388,122.94166666666666,25.116,4.894954079736689
250,72.62358566666666,88.41766700000001,297.84200000000004,52.98166666666666,5.621604957689768
500,124.70043966666667,129.67571433333333,622.4476666666666,84.90766666666667,7.330877070386261
750,182.01459066666666,173.55172433333334,958.2453333333333,127.02,7.544050805647404
1000,211.75852133333333,209.108305,1257.0566666666666,161.205,7.797876409954198
2500,514.8299303333333,478.00990466666667,3185.814,429.85633333333334,7.411345961325062
5000,1098.313177,958.285976,8009.2570000000005,1029.8013333333333,7.777477791832989
10000,2198.1974913333333,1845.7685803333334,14461.623333333335,2947.2406666666666,4.906834890307567
25000,5387.304312333334,4661.731059999999,45182.952,19042.813,2.372703654654383
50000,17854.447071333332,9146.051720000001,148016.0,101310.83933333332,
75000,18461.725954,13017.655983,,262954.296,
